"File","RGroup","Space Value"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","p.cool.forb","0.10226058076966"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","p.warm.forb","0.025565145192415"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","p.cool.grass","0.310327071335679"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","p.warm.grass","0.379783047376953"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","shrub","0.0270898630759468"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","succulents","0.0266983475999055"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","sagebrush","0.112609418808881"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","a.cool.forb","0.017097106301505"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","a.warm.forb","0.01139807086767"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","p.cool.forb","0.0911845669413601"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","p.warm.forb","0.02279614173534"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","p.cool.grass","0.189614176940941"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","p.warm.grass","0.490385186030958"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","shrub","0.0316713990399977"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","succulents","0.0332439333333475"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","sagebrush","0.173324031161783"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","a.cool.forb","0.0153640455095609"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","a.warm.forb","0.0102426970063739"
